,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
CCI,70.56B,723.00M,5.77B,4.80,2.88%,5100,7.08,96.53,61.54,5.19,2.15,1.73,2.71,0.51,45.70%,18.59%,14.50%,7.00%,5.40%,-8.70%,0.20%,-4.24%,94.10%
CSX,61.99B,2.90B,10.97B,1.04,1.30%,19000,5.05,21.53,18.87,5.66,1.36,3.72,4.25,0.93,8.60%,3.81%,16.80%,24.30%,14.20%,-39.70%,0.10%,-50.90%,76.70%
CMI,32.85B,1.71B,20.21B,5.40,2.42%,61615,4.57,19.86,18.45,-,0.53,11.22,12.08,2.39,9.50%,-9.40%,9.90%,23.10%,21.60%,-56.30%,0.10%,0.00%,86.20%
CVS,77.63B,8.26B,263.80B,2.00,3.36%,290000,1.15,9.46,7.91,1.49,1.05,6.30,7.53,1.32,861.40%,6.34%,5.10%,12.70%,7.20%,52.30%,0.19%,-0.48%,79.00%
DHI,28.67B,2.05B,18.95B,0.70,0.91%,8916,2.54,13.96,11.34,0.68,0.39,5.52,6.80,1.74,4.80%,20.50%,23.40%,19.60%,12.10%,36.20%,8.51%,-0.20%,84.40%
DHR,159.92B,2.80B,17.52B,0.72,0.32%,60000,4.86,58.58,35.22,4.49,0.68,3.88,6.46,1.36,-2.20%,13.06%,7.60%,11.10%,4.70%,38.30%,0.50%,-11.38%,81.60%
DRI,13.04B,-183.70M,7.20B,1.20,1.21%,177000,5.42,-,16.28,-,0.56,-1.46,6.08,0.73,-107.00%,29.78%,-17.80%,-8.00%,0.40%,-79.30%,0.40%,17.32%,91.60%
DVA,11.21B,823.60M,11.52B,-,-,65000,5.15,14.44,12.13,1.31,4.55,6.29,7.49,1.44,28.30%,11.00%,6.60%,38.80%,13.00%,39.60%,2.20%,-46.24%,92.30%
DE,74.66B,2.67B,35.73B,3.04,1.27%,73500,5.83,28.42,23.06,3.04,3.76,8.45,10.41,1.26,5.90%,9.35%,2.90%,22.60%,8.10%,-5.80%,0.10%,-11.14%,80.70%
DAL,19.99B,-10532.00M,24.56B,-,-,91224,5.95,-,-,-,10.39,-16.61,-0.46,-2.28,28.70%,-,56.40%,-101.00%,19.60%,-467.20%,0.10%,-5.38%,61.60%
XRAY,9.92B,-48.00M,3.44B,0.40,0.88%,15200,2.15,-,20.77,-,0.47,-0.23,2.20,0.29,125.90%,4.27%,-12.20%,-1.00%,4.30%,-370.50%,0.30%,-3.18%,95.95%
DVN,3.61B,-2274.00M,5.55B,0.44,4.92%,1800,1.05,-,18.88,-,1.41,-6.05,0.47,-0.12,-118.70%,-,-15.50%,-62.00%,1.70%,-596.80%,0.20%,-0.37%,82.00%
DXCM,38.26B,204.70M,1.72B,-,-,3900,28.07,185.35,124.85,3.35,0.00,2.19,3.24,0.64,175.80%,55.35%,41.50%,20.80%,7.10%,514.10%,0.60%,-26.45%,97.70%
FANG,4.83B,-2963.00M,3.40B,1.50,5.12%,712,0.43,-,9.01,-,0.56,-18.76,3.25,0.40,-81.80%,13.45%,-16.60%,-21.90%,3.20%,-816.90%,0.10%,1.10%,95.30%
DLR,42.14B,621.90M,3.41B,4.48,2.84%,1550,2.71,55.53,108.76,3.33,0.80,2.84,1.45,0.23,94.60%,16.66%,18.80%,5.30%,3.30%,30.80%,0.33%,-14.19%,89.95%
DFS,19.79B,1.01B,11.73B,1.76,2.69%,17200,2.33,20.65,10.86,29.50,2.70,3.17,6.03,1.56,16.60%,0.70%,13.10%,10.00%,14.50%,-152.10%,0.20%,1.81%,87.90%
DISCA,10.02B,1.04B,10.78B,-,-,9200,1.08,10.60,6.38,3.44,1.55,1.98,3.29,0.64,236.60%,3.08%,11.70%,10.70%,11.30%,-78.20%,1.10%,-0.10%,-
DISCK,-,-,10.78B,-,-,9200,1.30,11.08,5.75,1.40,-,1.71,3.30,0.62,-23.80%,7.90%,-,-,-,-71.40%,4.72%,-,87.50%
DISH,14.52B,1.27B,12.81B,-,-,16000,1.19,12.24,11.43,-,1.07,2.26,2.42,0.69,-12.80%,-12.83%,5.10%,11.10%,5.60%,29.80%,1.80%,-4.88%,81.90%
DG,55.50B,2.34B,31.28B,1.44,0.65%,143000,7.54,24.09,22.64,1.63,0.00,9.21,9.80,1.96,12.00%,14.79%,13.70%,33.50%,18.90%,89.70%,0.20%,-54.26%,95.10%
DLTR,22.91B,887.90M,24.63B,-,-,56900,3.33,25.59,16.48,2.65,0.59,3.73,5.80,1.15,151.90%,9.66%,3.70%,13.80%,9.90%,45.20%,1.10%,-1.05%,91.80%
D,67.91B,497.00M,16.83B,3.76,4.62%,19100,2.58,125.83,21.07,45.94,1.53,0.65,3.86,0.97,-56.50%,2.74%,-5.90%,1.80%,3.20%,-,0.20%,-5.65%,70.10%
DPZ,15.83B,468.70M,3.91B,3.12,0.78%,13100,-,34.19,31.03,2.27,-,11.68,12.88,3.84,14.40%,15.10%,27.30%,-14.10%,78.40%,21.30%,0.60%,-16.24%,92.80%
DOV,16.40B,675.20M,6.76B,1.98,1.74%,24000,5.32,24.71,19.10,11.97,1.13,4.62,5.97,1.32,19.50%,2.07%,0.00%,22.30%,12.90%,-36.10%,0.20%,-9.45%,85.90%
DOW,36.32B,-1976.00M,39.09B,2.80,5.68%,36500,2.91,-,20.00,-,1.40,-2.65,2.47,0.33,-164.70%,-10.43%,-,-14.00%,-4.40%,-401.60%,0.08%,0.00%,67.90%
DTE,22.72B,1.20B,11.87B,4.05,3.39%,10700,1.95,18.86,16.77,3.17,1.61,6.33,7.12,1.94,0.20%,5.95%,4.30%,10.50%,5.30%,45.10%,0.60%,-0.03%,75.20%
DUK,67.63B,2.08B,24.41B,3.86,4.18%,28793,1.56,32.51,17.72,14.05,1.49,2.84,5.21,1.81,35.20%,2.31%,7.30%,4.70%,4.90%,-198.70%,0.10%,-0.52%,64.90%
DRE,14.43B,371.00M,936.70M,0.94,2.42%,400,2.87,38.29,66.88,6.38,0.62,1.02,0.58,0.14,11.50%,6.00%,18.10%,7.50%,6.50%,-45.50%,0.10%,-16.90%,99.60%
DD,43.50B,-2613.00M,20.68B,1.20,2.03%,35000,1.17,-,16.97,-,0.52,-3.56,3.49,0.75,-353.20%,1.62%,-,-6.40%,-0.50%,-127.30%,0.10%,-1.64%,79.10%
DXC,5.13B,-5737.70M,19.19B,-,-,138000,1.14,-,5.08,-,2.62,-22.47,4.06,0.38,-596.10%,-4.09%,-67.90%,-86.00%,-35.30%,-233.40%,0.70%,0.00%,89.00%
EMN,11.66B,577.00M,8.70B,2.64,3.05%,14500,1.94,20.55,12.36,6.21,1.02,4.21,7.00,1.36,-26.10%,3.31%,2.00%,9.60%,8.30%,-89.30%,0.30%,-13.53%,86.30%
ETN,43.46B,1.54B,19.20B,2.92,2.67%,93000,3.08,29.40,22.44,-,0.58,3.72,4.87,1.04,7.00%,-2.87%,6.90%,10.20%,10.00%,-91.50%,0.10%,-30.29%,82.70%
EBAY,38.77B,2.09B,10.71B,0.64,1.15%,13300,13.52,20.40,14.16,1.28,2.99,2.74,3.94,0.86,0.50%,15.92%,38.10%,180.10%,17.40%,125.60%,3.50%,-1.91%,94.40%
ECL,57.49B,1.31B,13.35B,1.88,0.92%,50200,10.07,45.46,38.39,5.61,1.24,4.50,5.33,1.13,1.80%,8.11%,6.20%,-10.80%,11.20%,-62.60%,0.40%,-21.57%,88.30%
EIX,21.49B,1.12B,12.49B,2.55,4.39%,12937,1.53,18.79,12.83,15.66,1.46,3.09,4.53,1.45,368.60%,1.20%,-2.80%,8.20%,6.40%,-29.40%,0.06%,-0.21%,89.90%
EW,53.05B,746.40M,4.32B,-,-,13900,13.79,73.06,38.65,6.00,0.00,1.17,2.21,0.44,43.20%,12.17%,5.80%,18.90%,21.70%,-151.60%,0.20%,-39.89%,85.50%
EA,37.93B,1.98B,5.79B,-,-,9800,4.88,19.56,22.15,1.38,0.13,6.74,5.96,0.03,209.40%,14.13%,30.80%,26.80%,35.20%,-73.70%,0.20%,-61.67%,92.70%
EMR,41.58B,1.96B,17.20B,2.00,2.85%,88000,5.36,21.94,20.50,20.49,0.92,3.20,3.43,0.95,17.20%,1.07%,3.50%,24.50%,17.90%,-41.50%,0.40%,72.45%,75.30%
ETR,21.09B,1.23B,10.44B,3.72,3.49%,13635,2.05,17.41,17.94,3.22,2.06,6.13,5.95,2.41,36.10%,5.40%,3.80%,12.00%,5.20%,47.10%,0.10%,-0.27%,88.20%
EOG,22.17B,352.10M,14.30B,1.50,4.01%,2900,1.06,62.16,18.62,-,0.28,0.60,2.01,0.15,-18.80%,-3.11%,-2.40%,1.70%,10.80%,-207.50%,0.30%,0.00%,90.30%
EFX,19.72B,298.80M,3.72B,1.56,0.96%,11200,7.36,66.97,26.13,9.89,1.62,2.44,6.25,1.60,-233.60%,6.77%,-25.50%,11.70%,-5.00%,42.70%,0.20%,-14.70%,95.70%
EQIX,72.16B,497.90M,5.73B,10.64,1.30%,8378,6.87,141.96,97.25,9.04,1.36,5.76,8.41,1.66,33.90%,15.70%,26.50%,5.40%,4.50%,-10.40%,0.30%,-5.08%,97.20%
EQR,19.47B,1.12B,2.70B,2.41,4.65%,2700,1.83,17.21,39.58,2.82,0.80,3.01,1.31,0.35,46.70%,6.10%,7.00%,10.80%,7.00%,-15.60%,0.10%,0.00%,94.10%
ESS,13.35B,627.60M,1.51B,8.31,4.11%,1822,2.14,21.26,49.47,2.69,1.02,9.50,4.08,1.05,12.80%,7.90%,26.40%,10.10%,-,-7.90%,2.11%,0.00%,98.60%
EL,80.14B,684.00M,14.29B,1.92,0.86%,48000,20.54,122.14,36.66,8.67,1.56,1.84,6.11,0.89,-61.40%,14.09%,-8.00%,15.80%,2.50%,-401.00%,0.30%,-31.18%,90.80%
ETSY,17.98B,150.80M,1.12B,-,-,1292,33.47,127.67,69.68,2.24,1.64,1.16,2.12,0.59,13.90%,57.05%,48.90%,35.90%,8.00%,82.00%,0.60%,-57.70%,95.10%
EVRG,12.34B,633.50M,5.01B,2.02,3.68%,4617,1.46,20.10,16.97,3.27,1.22,2.73,3.24,1.61,11.60%,6.15%,3.00%,7.40%,5.90%,2.10%,0.20%,-0.88%,84.60%
ES,31.19B,1.16B,8.54B,2.27,2.48%,8234,2.24,26.17,23.54,4.06,1.12,3.49,3.88,1.03,-13.80%,6.44%,1.70%,8.90%,4.70%,658.90%,0.35%,-2.03%,82.80%
RE,8.07B,492.10M,8.50B,6.20,3.09%,1603,0.85,16.36,8.54,3.93,0.00,12.28,23.51,0.94,-44.00%,4.16%,-1.00%,5.80%,10.70%,-41.50%,0.90%,-8.75%,98.80%
EXC,40.34B,2.65B,33.34B,1.53,3.64%,32713,1.26,15.51,14.25,-,1.23,2.71,2.95,0.86,45.70%,-3.48%,9.90%,8.20%,5.10%,7.40%,0.10%,-0.70%,81.00%
EXPE,12.24B,-1569.00M,9.08B,-,-,25400,7.38,-,71.37,-,5.51,-11.34,1.27,-0.72,42.00%,-,4.70%,-51.60%,7.90%,-542.10%,0.50%,-11.88%,100.00%
EXPD,15.74B,603.80M,8.60B,1.04,1.11%,18000,7.20,26.54,24.16,4.02,0.00,3.52,3.86,0.98,-5.40%,6.59%,12.10%,28.10%,25.60%,23.70%,0.20%,-68.19%,96.40%
EXR,14.84B,430.80M,1.33B,3.60,3.14%,4048,6.22,34.57,36.08,5.76,2.14,3.32,3.18,0.78,3.90%,6.00%,16.10%,17.50%,8.20%,-2.10%,0.80%,-17.86%,-
XOM,145.66B,6.43B,213.86B,3.48,10.21%,74900,0.81,22.64,24.48,6.95,0.39,1.51,1.39,-0.21,-33.80%,3.26%,-16.00%,3.90%,2.30%,-134.50%,0.08%,0.00%,53.00%
FFIV,8.09B,324.60M,2.33B,-,-,5325,3.76,24.92,13.69,19.17,0.18,5.33,9.69,2.37,-7.60%,1.30%,11.60%,16.60%,23.00%,-20.30%,0.30%,-10.61%,98.80%
FB,759.84B,23.52B,75.16B,-,-,52534,6.86,33.93,26.11,1.67,0.00,7.84,10.19,1.90,-15.10%,20.27%,42.20%,22.90%,17.40%,97.70%,0.66%,-0.55%,80.10%
FAST,25.61B,841.70M,5.57B,1.00,2.21%,20336,9.00,30.94,29.45,4.18,0.14,1.46,1.54,0.32,6.60%,7.40%,10.60%,30.60%,26.70%,3.40%,0.10%,-36.51%,81.50%
FRT,5.76B,269.00M,880.90M,4.24,5.70%,308,2.47,20.80,35.48,3.10,1.99,3.58,2.10,0.36,53.00%,6.70%,14.40%,11.60%,8.10%,-89.60%,0.87%,0.00%,95.20%
FDX,74.08B,1.78B,71.49B,2.60,0.92%,183000,3.82,41.86,16.42,1.60,1.20,6.78,17.29,3.72,179.90%,26.11%,6.10%,9.50%,5.00%,66.40%,5.70%,-1.99%,74.10%
FIS,89.15B,30.00M,12.20B,1.40,0.97%,55000,1.81,1563.91,21.51,124.21,0.41,0.09,6.69,1.40,-74.10%,12.59%,-22.70%,0.10%,1.20%,-93.50%,0.20%,-15.53%,92.90%
FITB,16.67B,1.41B,6.11B,1.08,4.64%,19869,0.81,11.99,11.19,-,0.79,1.94,2.08,0.60,9.00%,-2.98%,14.90%,7.10%,10.60%,-60.10%,0.10%,-1.38%,81.30%
FE,17.08B,542.00M,10.87B,1.56,4.92%,12316,2.40,31.75,12.04,-,3.10,1.00,2.63,0.76,20.80%,-2.40%,26.80%,9.40%,5.80%,-10.60%,0.26%,0.00%,85.40%
FRC,21.62B,961.60M,3.80B,0.80,0.63%,5197,2.31,22.67,21.57,2.55,0.19,5.59,5.88,1.51,8.10%,8.87%,11.10%,9.70%,25.00%,13.30%,0.50%,0.00%,-
FISV,68.18B,839.00M,14.41B,-,-,44000,2.15,80.53,18.80,4.66,0.69,1.26,5.38,1.16,-41.40%,17.27%,2.80%,2.60%,2.50%,-99.50%,0.50%,-62.23%,93.90%
FLT,20.72B,766.90M,2.57B,-,-,8700,7.06,29.03,19.56,3.50,1.50,8.60,12.76,2.66,9.50%,8.30%,18.60%,22.90%,12.00%,-36.90%,1.90%,-3.31%,94.80%
FLIR,4.92B,140.40M,1.89B,0.68,1.83%,4265,2.91,35.48,16.59,5.91,0.49,1.05,2.24,0.55,-37.70%,6.00%,-2.10%,9.30%,8.00%,-74.60%,1.00%,-3.34%,91.70%
FLS,3.78B,146.30M,3.88B,0.80,2.77%,17000,2.26,26.00,18.15,10.60,0.83,1.11,1.59,0.44,121.80%,2.45%,-12.40%,8.50%,10.30%,-85.00%,0.22%,0.00%,97.30%
FMC,14.13B,550.10M,4.62B,1.76,1.62%,6400,5.01,25.88,14.85,2.71,1.25,4.21,7.33,1.11,3.70%,9.54%,13.40%,17.90%,12.30%,2.70%,0.40%,-32.54%,92.20%
F,29.78B,-2028.00M,130.40B,-,-,190000,0.99,-,9.56,-,5.68,-0.52,0.80,0.17,-96.00%,-3.35%,-35.20%,-6.60%,0.70%,658.70%,0.10%,5.29%,50.70%
FTNT,21.32B,409.00M,2.35B,-,-,7756,39.03,55.36,38.16,3.05,0.00,2.38,3.45,0.78,-11.50%,18.13%,65.40%,45.60%,21.60%,63.20%,11.70%,-0.86%,72.60%
FTV,22.73B,489.70M,7.15B,0.28,0.42%,25000,3.06,46.62,27.82,-,0.77,1.44,2.41,0.86,-22.20%,-3.43%,-5.50%,6.90%,6.50%,-28.50%,2.20%,-72.20%,90.20%
FBHS,12.41B,434.60M,5.71B,0.96,1.06%,24700,5.08,29.20,21.13,4.00,0.91,3.09,4.27,1.05,13.20%,7.30%,13.30%,18.10%,12.00%,-14.90%,0.40%,-44.41%,89.40%
FOXA,16.22B,999.00M,12.30B,0.46,1.71%,9000,1.62,16.66,11.85,-,0.79,1.61,2.27,0.67,-36.90%,-1.40%,-,9.80%,7.90%,-72.50%,0.10%,0.00%,-
FOX,15.92B,-,12.30B,0.46,1.70%,9000,1.62,16.74,11.54,1.82,-,1.62,2.35,0.49,-,9.20%,-,-,-,-73.10%,39.56%,-0.07%,59.57%
BEN,11.70B,1.01B,5.39B,1.08,4.60%,9500,1.14,11.46,7.98,-,0.14,2.05,2.94,0.68,-26.30%,-5.29%,-9.10%,10.10%,10.50%,20.40%,0.10%,-1.35%,51.50%
FCX,24.99B,-644.00M,12.92B,0.20,1.17%,27500,2.78,-,11.30,-,1.11,-0.44,1.52,0.20,-109.80%,-,34.30%,-7.00%,2.90%,218.50%,0.30%,0.00%,71.30%
GPS,7.42B,-1008.00M,14.05B,0.97,5.02%,129000,3.21,-,17.20,-,0.00,-2.71,1.12,0.27,-62.30%,-10.90%,-18.90%,-36.00%,9.40%,-137.40%,9.00%,-0.20%,59.70%
GRMN,18.94B,934.00M,3.76B,2.44,2.46%,15000,3.99,20.30,21.78,4.70,0.00,4.88,4.55,0.99,36.40%,4.32%,21.60%,19.80%,19.00%,-18.00%,0.20%,-6.08%,51.20%
IT,11.56B,239.30M,4.20B,-,-,16724,11.72,49.08,37.17,7.22,1.99,2.65,3.50,0.53,101.80%,6.80%,4.80%,25.60%,10.40%,-45.90%,2.70%,-5.11%,94.20%
GD,40.40B,3.26B,38.55B,4.40,3.09%,102900,2.93,12.63,11.85,3.26,1.05,11.26,12.01,2.86,6.70%,3.88%,8.90%,24.10%,15.20%,-21.40%,0.40%,-0.42%,86.70%
GE,60.14B,3.34B,87.87B,0.04,0.55%,205000,1.89,19.13,21.76,-,2.43,0.38,0.34,-0.04,99.80%,-8.18%,-14.90%,-16.30%,2.30%,-663.80%,0.20%,-66.02%,62.30%
GIS,38.33B,2.30B,17.99B,2.04,3.27%,35000,4.54,16.70,16.91,3.31,1.61,3.74,3.69,0.97,23.40%,5.05%,12.50%,28.90%,12.00%,21.10%,0.20%,-9.61%,75.60%
GM,46.64B,1.52B,115.79B,-,-,164000,1.22,31.86,7.29,16.95,3.24,1.05,4.59,1.33,-15.90%,1.88%,22.40%,3.70%,3.20%,-134.00%,7.19%,0.02%,79.30%
GPC,14.61B,-0.30M,17.64B,3.16,3.13%,55000,5.11,-,18.22,-,1.13,-0.03,5.54,1.40,-22.90%,-1.10%,-1.50%,-5.60%,9.20%,-276.50%,2.76%,0.00%,79.60%
GILD,78.93B,-257.00M,22.17B,2.72,4.39%,11800,4.32,-,8.89,-,1.34,-0.24,6.98,1.96,1.10%,0.59%,-10.50%,-1.20%,9.50%,-280.70%,0.41%,-0.64%,81.50%
GL,8.83B,727.50M,4.62B,0.75,0.90%,3196,1.13,12.53,11.13,1.92,0.27,6.64,7.48,1.75,12.40%,6.54%,11.40%,10.00%,9.50%,-3.40%,1.50%,-10.02%,77.70%
GPN,52.67B,378.70M,6.67B,0.78,0.44%,24000,1.93,120.04,22.23,7.04,0.35,1.48,7.97,1.65,-19.70%,17.05%,1.00%,1.40%,1.90%,-83.80%,0.40%,-3.99%,90.80%
GS,71.77B,4.84B,54.72B,5.00,2.42%,39100,0.93,15.69,8.67,1.82,8.45,13.15,23.79,5.68,-12.40%,8.63%,4.30%,6.00%,1.30%,-90.50%,0.60%,0.00%,71.40%
GWW,20.66B,623.00M,11.63B,6.12,1.60%,23800,10.64,33.25,21.30,4.69,1.73,11.54,18.00,4.15,12.10%,7.09%,6.30%,33.40%,23.30%,-54.80%,0.30%,-41.60%,73.70%
HAL,11.48B,-4051.00M,18.97B,0.18,1.47%,40000,2.07,-,24.45,-,1.89,-4.62,0.50,0.08,-170.50%,-8.32%,-18.30%,-54.40%,-2.50%,-,0.10%,59.60%,73.20%
HBI,6.04B,520.60M,6.67B,0.60,3.49%,63000,5.58,11.93,10.63,5.88,3.81,1.44,1.62,0.37,11.60%,2.03%,10.60%,47.10%,17.60%,12.30%,0.10%,-19.33%,97.00%
HIG,13.55B,1.80B,20.73B,1.30,3.45%,19500,0.81,7.61,7.10,-,0.26,4.96,5.31,0.91,43.00%,-2.60%,14.00%,11.40%,11.30%,26.50%,0.10%,1.98%,92.90%
HAS,11.90B,376.70M,4.97B,2.72,3.11%,5600,4.62,29.93,19.90,3.56,1.99,2.93,4.40,1.62,96.80%,8.40%,4.80%,14.80%,8.20%,-332.40%,0.20%,-0.30%,82.60%
HCA,46.58B,3.34B,50.15B,-,-,210000,-,13.93,11.61,1.40,-,9.70,11.64,2.32,10.50%,9.96%,19.30%,-120.20%,19.10%,40.50%,0.10%,-12.12%,70.60%
PEAK,14.87B,325.70M,2.24B,1.48,5.48%,204,2.05,44.31,163.82,17.72,0.95,0.61,0.17,0.01,-96.00%,2.50%,-30.60%,4.90%,2.10%,424.90%,0.10%,0.00%,95.70%
HSIC,8.76B,584.70M,9.29B,-,-,19000,2.97,15.64,17.19,3.75,0.38,3.99,3.63,0.75,72.00%,4.17%,11.50%,20.00%,14.90%,-110.20%,0.20%,-8.33%,-
HSY,31.29B,1.07B,7.95B,3.22,2.15%,14520,17.81,29.39,23.40,4.33,2.90,5.10,6.41,1.71,-1.60%,6.78%,7.70%,62.00%,21.80%,-13.30%,0.20%,-3.92%,77.60%
HES,12.08B,-3187.00M,5.45B,1.00,2.63%,1775,1.81,-,-,-,1.32,-10.49,-2.13,-0.56,-24.40%,-,-17.70%,-40.80%,0.80%,-,0.10%,-8.21%,87.80%
HPE,12.71B,124.00M,26.99B,0.48,5.06%,61600,0.76,118.50,6.22,-,1.20,0.08,1.53,0.34,-36.80%,-2.62%,5.10%,0.00%,5.30%,171.00%,0.10%,0.00%,83.80%
HLT,24.59B,51.00M,7.25B,-,-,173000,-,699.22,37.34,-,-,0.13,2.40,-0.01,19.20%,-4.18%,8.20%,-7.00%,17.30%,-274.30%,0.10%,-13.92%,-
HFC,3.43B,-159.30M,14.27B,1.40,6.94%,4074,0.61,-,25.65,-,0.00,-1.02,0.79,-0.43,-25.10%,-,26.50%,-2.80%,11.60%,-194.70%,0.10%,0.00%,87.90%
HOLX,17.07B,496.80M,3.30B,-,-,6478,7.71,35.87,15.58,2.19,1.47,1.87,4.30,1.20,55.70%,16.40%,-69.20%,22.80%,-1.30%,52.30%,0.80%,-12.16%,97.50%
HD,309.53B,11.83B,119.32B,6.00,2.09%,415700,-,26.35,24.11,4.43,-,10.92,11.93,2.96,6.10%,5.95%,16.80%,-583.90%,43.60%,27.10%,0.12%,-18.66%,71.90%
HON,121.13B,5.57B,34.52B,3.72,2.13%,113000,6.77,22.59,22.34,12.30,1.22,7.74,7.83,1.49,-4.40%,1.84%,8.50%,32.30%,17.20%,-27.40%,0.10%,-2.81%,76.40%
HRL,27.23B,929.20M,9.69B,0.93,1.88%,18700,4.26,29.07,27.26,29.07,0.21,1.70,1.82,0.44,4.00%,1.00%,10.00%,15.20%,15.60%,1.20%,0.20%,-24.62%,44.70%
HST,7.77B,93.00M,3.75B,-,-,175,1.15,95.22,-,3.35,0.68,0.12,-0.56,-0.43,-14.30%,28.40%,5.50%,1.30%,6.40%,-229.10%,0.70%,-0.09%,99.10%
HWM,8.07B,471.00M,9.85B,-,-,41700,2.39,18.23,22.56,-,1.50,1.02,0.82,0.04,-27.00%,-,47.00%,12.00%,8.90%,37.00%,0.50%,0.00%,91.00%
HPQ,26.87B,2.56B,56.79B,0.70,3.57%,56000,-,11.06,8.33,1.18,-,1.77,2.35,0.52,15.10%,9.34%,5.70%,-184.60%,112.30%,-30.70%,0.10%,-4.40%,84.70%
HUM,57.60B,3.50B,70.55B,2.50,0.57%,46000,4.02,16.65,19.80,1.34,0.56,26.28,22.11,2.80,61.50%,12.45%,22.20%,27.80%,13.50%,98.20%,0.25%,-0.38%,94.90%
HBAN,9.83B,813.00M,3.94B,0.60,6.20%,15703,0.93,12.43,10.00,-,0.92,0.78,0.97,0.25,6.10%,-1.69%,11.90%,7.70%,13.10%,-61.00%,1.10%,-0.52%,75.50%
HII,5.97B,528.00M,8.92B,4.12,2.78%,42000,3.59,11.50,13.13,5.00,0.00,12.87,11.27,4.13,-30.50%,2.30%,14.10%,31.90%,20.90%,-57.60%,0.40%,-3.48%,87.50%
IEX,14.32B,374.60M,2.39B,2.00,1.04%,7439,6.41,39.32,35.30,3.02,0.46,4.90,5.46,1.20,6.30%,13.00%,10.00%,16.80%,15.10%,-37.00%,0.50%,-36.00%,-
IDXX,35.96B,460.10M,2.47B,-,-,9200,132.01,80.07,67.27,5.10,3.37,5.29,6.30,1.42,14.00%,15.70%,22.20%,242.00%,43.00%,20.10%,1.10%,-29.64%,90.40%
INFO,31.91B,922.70M,4.30B,0.68,0.84%,15500,3.76,35.62,25.60,3.20,0.58,2.28,3.18,0.67,24.60%,11.12%,9.90%,11.00%,5.60%,316.20%,0.50%,-26.41%,96.80%
ITW,64.43B,2.19B,12.74B,4.56,2.21%,45000,27.70,30.39,28.90,45.09,3.30,6.80,7.15,1.48,1.80%,0.67%,10.60%,82.20%,24.80%,-47.30%,0.20%,-27.33%,80.80%
ILMN,47.39B,693.00M,3.35B,-,-,7700,10.51,69.84,47.33,11.84,0.25,4.67,6.90,0.77,19.70%,5.90%,23.20%,15.20%,15.80%,-84.00%,0.40%,-14.38%,94.40%
INCY,19.80B,-191.10M,2.39B,-,-,1456,8.41,-,23.85,-,0.02,-0.91,3.80,0.75,304.40%,25.94%,55.60%,-8.20%,13.70%,171.90%,0.50%,-25.72%,96.10%
IR,15.46B,-147.40M,3.27B,-,-,6600,1.81,-,22.71,-,0.45,-0.24,1.64,0.31,-6.60%,0.20%,25.20%,-2.80%,7.00%,-298.10%,0.10%,-99.21%,98.00%
INTC,229.02B,23.66B,78.96B,1.32,2.44%,110800,2.80,9.97,11.50,1.16,0.47,5.44,4.71,1.11,6.60%,8.62%,15.20%,30.50%,17.80%,29.00%,0.05%,-3.14%,67.40%
ICE,57.29B,2.15B,5.59B,1.20,1.18%,6423,3.26,26.24,21.54,2.55,0.50,3.86,4.70,0.99,0.20%,10.30%,15.20%,12.60%,8.60%,14.20%,0.30%,-20.60%,87.90%
IBM,111.22B,8.02B,75.50B,6.52,5.18%,352600,5.45,14.04,10.34,4.92,3.15,8.97,12.18,2.58,-8.60%,2.85%,-7.20%,39.70%,11.40%,-46.10%,0.10%,-0.79%,58.80%
IP,17.91B,635.00M,21.28B,2.05,4.40%,51000,2.59,28.98,16.52,-,1.34,1.61,2.82,0.48,-21.80%,0.00%,18.40%,8.70%,8.60%,-7.70%,0.24%,0.00%,83.50%
IPG,7.00B,453.60M,9.73B,1.02,5.59%,54300,2.90,15.84,10.43,14.40,1.62,1.15,1.75,0.33,5.40%,1.10%,8.40%,17.70%,13.70%,-127.00%,0.10%,-1.45%,-
IFF,12.40B,422.60M,5.10B,3.08,2.65%,13600,2.18,31.26,18.55,18.86,0.73,3.72,6.27,1.47,-3.90%,1.66%,-4.60%,7.00%,5.40%,-38.20%,0.30%,0.00%,99.80%
INTU,89.53B,1.83B,7.68B,2.36,0.69%,10600,17.44,49.32,35.66,6.50,0.66,6.92,9.57,0.37,17.30%,7.58%,36.80%,42.50%,21.30%,-,0.20%,-40.57%,88.30%
ISRG,86.72B,1.05B,4.31B,-,-,7326,10.06,85.79,56.31,12.40,0.00,8.77,13.37,3.17,21.50%,6.92%,25.50%,16.70%,15.20%,-78.70%,0.60%,-11.50%,90.70%
IVZ,6.54B,468.90M,6.48B,0.62,4.42%,8717,0.67,13.83,7.79,-,0.90,1.02,1.80,0.47,-41.00%,-9.11%,-10.80%,4.90%,3.20%,-5.40%,0.40%,20.46%,89.00%
IPGP,9.90B,127.40M,1.18B,-,-,5960,3.99,77.15,39.73,3.92,0.02,2.38,4.61,0.88,-56.00%,19.70%,-2.50%,5.30%,6.80%,-46.80%,14.60%,-2.38%,65.90%
