,Market Cap,Income,Sales,Dividend,Dividend %,Employees,P/B,P/E,Forward P/E,PEG,Debt/Eq,EPS (ttm),EPS next Y,EPS next Q,EPS this Y,EPS next 5Y,EPS past 5Y,ROE,ROI,EPS Q/Q,Insider Own,Insider Trans,Inst Own
MDLZ,83.33B,3.43B,25.89B,1.26,2.17%,80000,3.19,24.50,20.69,3.86,0.76,2.37,2.80,0.62,16.20%,6.35%,15.70%,13.00%,8.40%,-31.40%,0.10%,-71.48%,78.70%
MNST,42.92B,1.14B,4.31B,-,-,3529,10.08,38.13,31.63,2.70,0.00,2.12,2.55,0.63,15.00%,14.14%,17.00%,28.00%,26.20%,9.90%,0.20%,-31.82%,66.70%
MCO,54.52B,1.74B,5.20B,2.24,0.77%,11279,52.08,31.65,29.06,3.67,0.00,9.13,9.95,2.10,15.40%,8.62%,10.00%,256.40%,26.10%,66.00%,0.30%,-12.81%,92.80%
MS,92.90B,9.32B,51.41B,1.40,2.70%,61596,1.02,8.75,10.11,2.36,6.45,5.93,5.13,1.09,9.70%,3.71%,26.40%,10.30%,1.80%,59.50%,0.20%,-7.00%,58.70%
MOS,7.39B,-1120.70M,8.67B,0.20,1.04%,12600,0.85,-,18.06,-,0.61,-2.96,1.06,0.16,-328.60%,7.00%,-24.90%,-12.40%,-6.30%,120.60%,0.10%,0.00%,78.60%
MSI,29.13B,842.00M,7.64B,2.56,1.50%,17000,-,35.63,19.81,3.45,-,4.80,8.63,1.76,-4.10%,10.32%,30.20%,-94.10%,31.30%,-33.80%,0.10%,-40.19%,89.20%
MSCI,30.24B,523.00M,1.63B,3.12,0.85%,3513,-,59.61,44.41,4.55,-,6.13,8.23,1.80,19.00%,13.10%,31.10%,-235.10%,23.90%,-7.30%,0.50%,-4.28%,94.70%
MYL,8.13B,270.50M,11.50B,-,-,35000,0.69,29.98,3.35,12.76,1.03,0.52,4.69,1.17,-95.00%,2.35%,-58.00%,2.30%,2.30%,123.30%,1.38%,0.18%,92.00%
NDAQ,21.09B,797.00M,4.91B,1.96,1.52%,4296,3.68,26.94,21.62,2.90,0.61,4.78,5.96,1.46,3.90%,9.29%,14.10%,14.40%,8.90%,39.30%,0.20%,-9.60%,78.30%
NOV,3.48B,-2769.00M,7.79B,-,-,35479,0.61,-,-,-,0.42,-7.23,-0.29,-0.10,-125.70%,41.00%,-36.90%,-41.40%,-58.80%,98.30%,0.10%,0.00%,97.70%
NTAP,10.45B,793.00M,5.48B,1.92,4.07%,10800,36.55,13.62,11.77,3.49,9.79,3.46,4.01,0.73,-22.10%,3.91%,15.00%,-,42.40%,-18.20%,0.30%,-6.17%,97.20%
NFLX,239.00B,2.55B,22.63B,-,-,8600,25.05,94.03,60.09,2.49,1.69,5.65,8.83,2.14,46.90%,37.79%,44.20%,33.30%,10.20%,165.10%,1.62%,-6.19%,82.90%
NWL,7.69B,-1099.10M,9.42B,0.92,5.11%,30000,2.19,-,12.51,-,1.77,-2.60,1.44,0.43,103.10%,-1.35%,-20.00%,-25.70%,4.90%,-36.80%,0.40%,0.00%,90.20%
NEM,50.65B,4.01B,10.63B,1.00,1.60%,16600,2.29,12.76,13.98,0.36,0.30,4.91,4.48,0.84,800.20%,35.57%,24.50%,18.00%,10.10%,-,0.20%,-13.15%,84.20%
NWSA,8.23B,-1269.00M,9.01B,0.20,1.42%,23500,1.09,-,31.38,-,0.17,-2.16,0.45,0.00,-918.70%,39.02%,-44.20%,-15.30%,-17.50%,-673.80%,0.58%,0.00%,97.90%
NWS,8.20B,-,9.01B,0.20,1.43%,23500,1.08,-,-,-,-,-2.16,-,-,-,-,-,-,-,-,39.47%,0.00%,32.58%
NEE,146.14B,3.59B,18.98B,5.60,1.83%,8900,4.04,41.69,122.88,5.12,1.26,7.33,2.49,0.66,-38.90%,8.14%,7.20%,9.70%,6.30%,-0.30%,0.10%,-25.34%,80.70%
NLSN,4.97B,-629.00M,6.36B,0.24,1.72%,46000,2.46,-,8.20,-,4.17,-1.77,1.70,0.40,55.90%,-2.78%,-25.90%,-29.90%,1.60%,-124.40%,0.60%,0.00%,-
NKE,202.51B,2.69B,37.34B,0.98,0.77%,75400,21.66,76.37,34.73,3.04,1.03,1.68,3.69,0.61,-35.90%,25.14%,-2.90%,30.20%,13.30%,11.30%,0.50%,-19.28%,83.50%
NI,8.96B,-116.90M,4.90B,0.84,3.57%,8363,1.88,-,17.51,-,2.09,-0.31,1.34,0.02,574.10%,1.81%,1.50%,-2.40%,5.20%,-106.40%,0.10%,-0.43%,94.80%
NSC,55.96B,2.09B,10.24B,3.76,1.72%,24587,3.76,27.25,19.93,3.98,0.85,8.03,10.98,2.38,7.80%,6.84%,9.90%,13.90%,11.80%,-43.30%,0.10%,-22.88%,75.90%
NTRS,18.11B,1.36B,6.47B,2.80,3.20%,19800,1.73,13.62,14.60,-,12.90,6.42,5.98,1.38,0.20%,-0.88%,14.80%,13.50%,1.10%,-16.30%,0.10%,-4.65%,85.90%
NOC,52.49B,2.40B,34.70B,5.80,1.83%,90000,5.43,22.23,12.53,2.54,1.65,14.22,25.25,5.64,-26.60%,8.76%,6.30%,25.70%,16.20%,18.80%,0.10%,-2.98%,83.70%
